POS	Count
noun	2217
prep	95
num/noun	52
pnoun	19993
adv	238
adj	947
verb	717
conj	37
intj	3
prep+art	2
adj/noun	36
pron	72
verb/adj	2
num	22
adj/num/noun	13
adj/nun	1
num/adj	16
adj/num	10
adv/conj	2
verb/adj/noun	1
art	67
verbo	1
abbr	1
abbr/noun	1
prefix	1
noun/adj	15
verb + pron	1
det	1
noun/adv	1
adv/adj	1
adj/adv	1
adj/pron	7
verb/noun	6
con/adj/pron	1
noun/verb	2
adj/nm	1
adv/pron	1
fw	7
noun 	1
noun/num	1
num/art	1
art/art/pron	1
num/art/pron	2
art/pron	2
num/adj/pron	1
noun/pnoun	1
port	10
